Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
산업안전지도사,2022,1,산업안전보건법령,1,산업안전보건법령상 관계수급인 근로자가 도급인의 사업장에서 작업을 하는 경우 도급인의 안전조치 및 보건조치에 관한 설명으로 옳지 않은 것은?,,"도급인은 같은 장소에서 이루어지는 도급인과 관계수급인의 작업에 있어서 관계수급인의 작업시기ㆍ내용, 안전조치 및 보건조치 등을 확인하여야 한다.",건설업의 경우에는 도급사업의 정기 안전ㆍ보건 점검을 분기에 1회 이상 실시하여야 한다.,관계수급인의 공사금액을 포함한 해당 공사의 총공사금액이 20억원 이상인 건설업의 경우 도급인은 그 사업장의 안전보건관리책임자를 안전보건총괄책임자로 지정하여야 한다.,도급인은 도급인과 수급인을 구성원으로 하는 안전 및 보건에 관한 협의체를 도급인 및 그의 수급인 전원으로 구성하여야 한다.,도급인은 제조업 작업장의 순회점검을 2일에 1회 이상 실시하여야 한다.,2
산업안전지도사,2022,1,산업안전보건법령,2,"산업안전보건법령상 '대여자 등이 안전조치 등을 해야 하는 기계ㆍ기구ㆍ설비 및 건축물 등'에 규정되어 있는 것을 모두 고른 것은? (단, 고용노동부장관이 정하여 고시하는 기계ㆍ기구ㆍ설비 및 건축물 등은 고려하지 않음)\nㄱ. 어스오거\nㄴ. 산업용 로봇\nㄷ. 클램셸\nㄹ. 압력용기",,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",2
산업안전지도사,2022,1,산업안전보건법령,3,산업안전보건법령상 유해하거나 위험한 기계ㆍ기구에 대한 방호조치 등에 관한 설명으로 옳은 것을 모두 고른 것은?\nㄱ. 래핑기에는 구동부 방호 연동장치를 설치해야 한다.\nㄴ. 원심기에는 압력방출장치를 설치해야 한다.\nㄷ. 작동 부분에 돌기 부분이 있는 기계는 그 돌기 부분에 방호망을 설치하여야 한다.\nㄹ. 동력전달 부분이 있는 기계는 동력전달 부분을 묻힘형으로 하여야 한다.,,ㄱ,"ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄷ, ㄹ",1
산업안전지도사,2022,1,산업안전보건법령,4,산업안전보건법령상 사업주가 근로자의 작업내용을 변경할 때에 그 근로자에게 하여야 하는 안전보건교육의 내용으로 규정되어 있지 않은 것은?,,사고 발생 시 긴급조치에 관한 사항,기계ㆍ기구의 위험성과 작업의 순서 및 동선에 관한 사항,표준안전 작업방법에 관한 사항,"직장 내 괴롭힘, 고객의 폭언 등으로 인한 건강장해 예방 및 관리에 관한 사항",작업 개시 전 점검에 관한 사항,3
산업안전지도사,2022,1,산업안전보건법령,5,산업안전보건법령상 안전검사에 관한 설명으로 옳지 않은 것은?,,형 체결력(型 締結力) 294킬로뉴턴(KN) 이상의 사출성형기는 안전검사대상기계등에 해당한다.,사업주는 자율안전검사를 받은 경우에는 그 결과를 기록하여 보존하여야 한다.,안전검사기관이 안전검사 업무를 게을리하거나 업무에 차질을 일으킨 경우 고용노동부장관은 안전검사기관 지정을 취소하거나 6개월 이내의 기간을 정하여 그 업무의 정지를 명할 수 있다.,곤돌라를 건설현장에서 사용하는 경우 사업장에 최초로 설치한 날부터 6개월마다 안전검사를 하여야 한다.,안전검사대상기계등을 사용하는 사업주와 소유자가 다른 경우에는 사업주가 안전검사를 받아야 한다.,5
산업안전지도사,2022,1,산업안전보건법령,6,"산업안전보건법령상 제조 또는 사용허가를 받아야 하는 유해물질을 모두 고른 것은? (단, 고용노동부장관의 승인을 받은 경우는 제외함)\nㄱ. 크롬산 아연\nㄴ. β-나프틸아민과 그 염\nㄷ. o-톨리딘 및 그 염\nㄹ. 폴리클로리네이티드 터페닐\nㅁ. 콜타르피치 휘발물",,"ㄱ, ㄴ, ㄷ","ㄱ, ㄷ, ㅁ","ㄱ, ㄹ, ㅁ","ㄴ, ㄷ, ㄹ","ㄴ, ㄹ, ㅁ",2
산업안전지도사,2022,1,산업안전보건법령,7,산업안전보건법령상 중대재해에 속하는 경우를 모두 고른 것은?\nㄱ. 사망자가 1명 발생한 재해\nㄴ. 3개월 이상의 요양이 필요한 부상자가 동시에 2명 발생한 재해\nㄷ. 부상자가 동시에 5명 발생한 재해\nㄹ. 직업성 질병자가 동시에 10명 발생한 재해,,ㄱ,"ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4
산업안전지도사,2022,1,산업안전보건법령,8,산업안전보건법령상 안전인증에 관한 설명으로 옳은 것은?,,안전인증 심사 중 유해ㆍ위험기계등이 서면심사 내용과 일치하는지와 유해ㆍ위험기계등의 안전에 관한 성능이 안전인증기준에 적합한지에 대한 심사는 기술능력 및 생산체계 심사에 해당한다.,거짓이나 그 밖의 부정한 방법으로 안전인증을 받은 사유로 안전인증이 취소된 자는 안전인증이 취소된 날부터 3년 이내에는 취소된 유해ㆍ위험기계등에 대하여 안전인증을 신청할 수 없다.,"크레인, 리프트, 곤돌라는 설치ㆍ이전하는 경우뿐만 아니라 주요 구조 부분을 변경하는 경우에도 안전인증을 받아야 한다.",안전인증기관은 안전인증을 받은 자가 최근 2년 동안 안전인증표시의 사용금지를 받은 사실이 없는 경우에는 안전인증기준을 지키고 있는지를 3년에 1회 이상 확인해야 한다.,안전인증대상기계등이 아닌 유해ㆍ위험기계등을 제조하는 자는 그 유해ㆍ위험기계등의 안전에 관한 성능을 평가받기 위하여 고용노동부장관에게 안전인증을 신청할 수 없다.,3
산업안전지도사,2022,1,산업안전보건법령,9,산업안전보건법령상 상시근로자 1000명인 A회사(「상법」제170조에 따른 주식회사)의 대표이사 甲이 수립해야 하는 회사의 안전 및 보건에 관한 계획에 포함되어야 하는 내용이 아닌 것은?,,안전 및 보건에 관한 경영방침,안전ㆍ보건관리 업무 위탁에 관한 사항,안전ㆍ보건관리 조직의 구성ㆍ인원 및 역할,안전ㆍ보건 관련 예산 및 시설 현황,안전 및 보건에 관한 전년도 활동실적 및 다음 연도 활동계획,2
산업안전지도사,2022,1,산업안전보건법령,10,산업안전보건법령상 안전관리전문기관에 대해 그 지정을 취소하여야 하는 경우는?,,업무정지 기간 중에 업무를 수행한 경우,안전관리 업무 관련 서류를 거짓으로 작성한 경우,정당한 사유 없이 안전관리 업무의 수탁을 거부한 경우,안전관리 업무 수행과 관련한 대가 외에 금품을 받은 경우,법에 따른 관계 공무원의 지도ㆍ감독을 거부ㆍ방해 또는 기피한 경우,1
